rank_setor,codigo_base,nome,valor_total,quantidade_total
10,2281328,CAPA SOFA 2/3 LUG KING,143.98,2
10,923523598,BABY DRAGOES,139.98,2
10,923232944,KIT PINCEIS P/ MAQ 5PCS LINDA,296.58,22
10,947859703,"TOALHA BANHO 70X1,40",205.08,12
10,935697503,ENFEITE DE PENDURAR,163.88,12
10,955237408,2 PARES DE BRINCOS,259.74,26
10,909062922,BANDEJA 15X23CM,165.14,6
10,927637915,TOA DE MICROFIBRA P/ CABELO,145.92,14
10,946968657,"TOALHA 70X1,40CM",215.88,12
10,920123799,MINI CHOCO BAUDU 80GR,602.8100000000001,79
10,916914411,PERF GOLDEN FLOWERI 30ML,348.33,7
11,902896892,"TAP EASY BEGE 0,45X1,20",171.98,2
11,920241587,MEIA MALUCA PERSONAGENS,295.78,22
11,3040589,BOLSA,202.72,8
11,936238164,BOLSA TERM YIYPIANZ,575.07,18
11,935697455,BOLA LISA PEROLADA,159.96,4
11,920704533,BIC TK3 TRACK ARO 12 VERMELHO/DOURADO,253.99,1
11,814230707,BOLSA TERMICA GX-400099,336.40999999999997,19
11,946968657,"TOALHA 70X1,40CM",125.92999999999999,7
11,909222976,CANECA 220ML,159.32,28
11,814230743,FANTASIA FADA LF43-086,267.93,7
11,56892371,BOLSA DE TECIDO,139.92999999999998,7
11,907256461,POTE C/ TAMP ESCRREDOR,130.92000000000002,3
12,922973145,CESTO JUNCO M,119.99,1
12,920704533,BIC TK3 TRACK ARO 12 VERMELHO/DOURADO,253.99,1
12,814230707,BOLSA TERMICA GX-400099,124.13,7
12,946968657,"TOALHA 70X1,40CM",143.92,8
12,940927065,"PAN PRESSAO 2,5L PRETA",200.07,3
12,936675015,PAPAI NOEL XADREZ LAMP,572.67,8
12,941389673,BANDEJA PÉROLA GG,143.98,2
12,907206311,ESPELHO,139.9,10
12,927637925,TOUCA LACE WIG CAP,155.17000000000002,56
12,916069452,PRIM SKIN PERFECT 25ML,291.7,30
12,916867815,CHAVEIRO STITCH,335.85999999999996,14
12,940927062,"PAN PRESSAO 2,5L POLIDA",239.96,4
13,921454334,TOUCA CETIM ESTAMPADA,569.08,55
13,936238164,BOLSA TERM YIYPIANZ,289.16,9
13,938829130,FESTAO 7CM LUXO,119.85,15
13,929931290,CABO DADOS 2M 3.4A INO,198.77999999999997,12
13,937910418,BANDEJA PEROLA M,143.97,3
13,909222943,POTE COM TAMPA,142.46,4
13,927638028,CILIOS TUFIN NEW SHOW,235.76000000000002,24
13,921515239,CINTO MASCULINO,223.86,14
13,936156937,CILIOS DE SEDA 9-14 2X20P,121.71000000000001,9
13,940927062,"PAN PRESSAO 2,5L POLIDA",119.98,2
13,943315043,NECESSAIRE 3 EM 1,284.9,10
13,935697461,BOLA MISTA VM 6CM,134.91,9
14,909222943,POTE COM TAMPA,119.97,3
14,908629900,FONE S/FIO A-607 PLUS,273.57,3
14,936675013,CASC 138 LEDS CORAÇÃO,121.48,2
14,925917860,CAFE EVOLUTTO 500G,540.0500000000001,15
14,2007266,MASCARA CILIOS RUBY RO,279.15999999999997,14
14,184347,PISTA BRINQUE CARRINHO,132.86,14
14,946968657,"TOALHA 70X1,40CM",187.09,11
14,907218972,CAR ANDANDOR ARANHA,110.99,1
14,944226970,JOGO DE TALHER 17 PEÇAS,139.81,7
14,920704536,TRICICLO TK3 TRACK INF,221.99,1
14,814230727,BOLSA TERMICA GX-400100,229.27,7
14,936675031,FESTAO 7CM METALIZADO,108.66,14
15,923233007,ESCOVA DE FITAGEM,212.22,18
15,940015031,BOLEIRA BAIXA,119.97,3
15,941389797,LEQUE,99.55,21
15,907206263,ELASTICO DE CABELO,175.14000000000001,36
15,935697455,BOLA LISA PEROLADA,119.97,3
15,927396112,BOLSA TERMICA URSINHO,275.81,9
15,907206299,ENFEITE CABELO SORVETE,520.46,84
15,923523604,BARBIE STYLING,109.99,1
15,938346640,CONJUNTO TALHERES INOX,219.96,4
15,56892371,BOLSA DE TECIDO,117.93999999999998,6
15,891723311,BOLSA TERMICA,272.92,8
15,936675027,FESTAO 7CMC/ PAPAI NOEL,103.57000000000001,13
16,941389685,ALMOFADA DE PESCOÇO,209.92999999999998,7
16,938346640,CONJUNTO TALHERES INOX,109.98,2
16,928486280,FRIGIDEIRA TURIM 20CM,97.12,3
16,920241640,SINO DOS VENTOS OLHO GREGO,117.44999999999999,5
16,921454381,KIT PINCEIS P/ MAQ 3PCS,266.73,27
16,908629677,FORMA PIZZA 35 POLIDO,461.83,17
16,924580055,CESTO C/TAMPA 56L PRETO,156.75,5
16,965647581,LAÇO ENFEITE NATAL,119.92,8
16,936675015,PAPAI NOEL XADREZ LAMP,202.96999999999997,3
16,935697500,ENFEITE DE PENDURAR,98.89,11
16,909062922,BANDEJA 15X23CM,115.96,4
16,910807599,PER BRAVO HERO 30ML,255.14000000000001,6
17,906678866,POTE COM TAMPA,111.92,8
17,916069452,PRIM SKIN PERFECT 25ML,189.81,19
17,909062922,BANDEJA 15X23CM,86.97,3
17,2281328,CAPA SOFA 2/3 LUG KING,442.32,8
17,902896887,"TAP EASY BEGE 0,45X0,75",107.98,2
17,927396117,NECESS TRANSP YIDA,238.64999999999998,10
17,920458332,CESTO JUNCO GG,151.99,1
17,902896887,"TAP EASY BEGE 0,45X0,75",107.98,2
17,941389883,BOLSA DE VIAGEM,199.96,4
17,8164417180,BABY COGUMELO DIDATICO,95.98,2
17,911935587,PALETA SOMB STITCH,113.02,8
17,45689717,BOLSA FEMININA,225.55,5
18,919069088,THE MONST COCACOLA,111.97,3
18,4698756,BOLSA PRETA,221.85,15
18,918018867,NECESSAIRE FEM GX-20-0018,173.91,9
18,2007349,CORRT ALTA COBERTURA FABELLA,238.34,16
